data_doi,data_publisher,data_title,data_publication_year,data_authors,relation_type,pub_doi,pub_title,pub_date,pub_authors,pub_type,pub_publisher,source_id
10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7,Environmental Information Data Centre (EIDC),"Land Cover Map 2020 (10m classified pixels, GB)",2021.0,"['Morton, R.D.', 'Marston, C.G.', ""O'Neil, A.W."", 'Rowland, C.S.']",references,http://naturvardsverket.diva-portal.org/smash/get/diva2:1717304/FULLTEXT01.pdf,Användningen av satellitdata för att utveckla miljöövervakningen i Sverige: En syntes,2022-12-06,['Naturvårdsverket'],Publication,Naturvårdsverket,overton
10.5285/35c7d0e5-1121-4381-9940-75f7673c98f7,Environmental Information Data Centre (EIDC),"Land Cover Map 2020 (10m classified pixels, GB)",2021.0,"['Morton, R.D.', 'Marston, C.G.', ""O'Neil, A.W."", 'Rowland, C.S.']",references,https://www.ivl.se/publikationer/publikationer/anvandningen-av-satellitdata-for-att-utveckla-miljoovervakningen-i-sverige---en-syntes.html,Användningen av satellitdata för att utveckla miljöövervakningen i Sverige – En syntes,2022-12-06,['IVL Svenska Miljöinstitutet'],Publication,IVL Svenska Miljöinstitutet,overton
10.5285/7727ce7d-531e-4d77-b756-5cc59ff016bd,Environmental Information Data Centre (EIDC),"Land Cover Map 2023 (10m classified pixels, GB)",2024.0,"['Morton, R.D.', 'Marston, C.G.', ""O'Neil, A.W."", 'Rowland, C.S.']",references,https://www.gov.uk/government/publications/exploring-recreational-water-use-in-england,Exploring recreational water use in England,2025-08-11,['Environment Agency'],Publication,The UK Government,overton
10.5285/a1f85307-cad7-4e32-a445-84410efdfa70,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (25m rasterised land parcels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://www.gov.wales/sustainable-farming-scheme-carbon-sequestration-evidence-review-panel-full-report,Sustainable Farming Scheme: Carbon Sequestration Evidence Review Panel: full report,2025-04-30,['The Welsh Government'],Publication,The Welsh Government,overton
10.5285/a1f85307-cad7-4e32-a445-84410efdfa70,Environmental Information Data Centre (EIDC),"Land Cover Map 2021 (25m rasterised land parcels, GB)",2022.0,"['Marston, C.', 'Rowland, C.S.', ""O'Neil, A.W."", 'Morton, R.D.']",references,https://gov.wales/sustainable-farming-scheme-carbon-sequestration-evidence-review-panel-full-report,Sustainable Farming Scheme: Carbon Sequestration Evidence Review Panel: full report,2025-04-30,['The Welsh Government'],Publication,The Welsh Government,overton
10.5285/f3723162-4fed-4d9d-92c6-dd17412fa37b,Environmental Information Data Centre (EIDC),Future flows hydrology data,2012.0,"['Haxton, T.', 'Crooks, S.', 'Jackson, C.R.', 'Barkwith, A.K.A.P.', 'Kelvin, J.', 'Williamson, J.', 'Mackay, J.D.', 'Wang, L.', 'Davies, H.', 'Young, A.', 'Prudhomme, C.']",references,https://www.gov.uk/government/publications/climate-change-and-eutrophication-risk-in-english-rivers,Climate change and eutrophication risk in English rivers,2016-03-23,['Environment Agency'],Publication,The UK Government,overton
10.5285/1bb90673-ad37-4679-90b9-0126109639a9,Environmental Information Data Centre (EIDC),"Hydrological projections for the UK, based on UK Climate Projections 2018 (UKCP18) data, from the Enhanced Future Flows and Groundwater (eFLaG) project",2022.0,"['Hannaford, J.', 'Mackay, J.', 'Ascott, M.', 'Bell, V.', 'Chitson, T.', 'Cole, S.', 'Counsell, C.', 'Durant, M.', 'Facer-Childs, K.', 'Jackson, C.', 'Kay, A.', 'Lane, R.', 'Mansour, M.', 'Moore, R.J.', 'Parry, S.', 'Rudd, A.', 'Simpson, M.', 'Turner, S.', 'Wallbank, J.', 'Wells, S.', 'Wilcox, A.']",references,https://www.gov.uk/government/publications/climate-change-health-effects-in-the-uk,Climate change: health effects in the UK,2023-12-11,['UK Health Security Agency'],Publication,The UK Government,overton
10.5285/eb5d9dc4-13bb-44c7-9bf8-c5980fcf52a4,Environmental Information Data Centre (EIDC),Potential evapotranspiration derived from the UK Climate Projections 2018 Regional Climate Model ensemble 1980-2080 (Hydro-PE UKCP18 RCM),2021.0,"['Robinson, E.L.', 'Kay, A.L.', 'Brown, M.', 'Chapman, R.', 'Bell, V.A.', 'Blyth, E.M.']",references,https://www.gov.uk/government/publications/review-of-the-research-and-scientific-understanding-of-drought,Review of the research and scientific understanding of drought,2023-11-28,['Environment Agency'],Publication,The UK Government,overton
10.5285/bad1514f-119e-44a4-8e1e-442735bb9797,Environmental Information Data Centre (EIDC),Future flows climate data,2012.0,"['Prudhomme, C.', 'Dadson, S.', 'Morris, D.', 'Williamson, J.', 'Goodsell, G.', 'Crooks, S.', 'Boolee, L.', 'Davies, H.', 'Buys, G.', 'Lafon, T.']",references,https://www.gov.uk/government/publications/future-water-resources,Future water resources,2024-10-31,['Department for Energy Security and Net Zero'],Publication,The UK Government,overton
10.5285/fd8151e9-0ee2-4dfa-a254-470c9bb9bc1e,Environmental Information Data Centre (EIDC),Sulphur and nitrogen atmospheric Concentration Based Estimated Deposition (CBED) data for the UK (2013-2015),2018.0,"['Smith, R.I.', 'Dore, A.J.', 'Tang, Y.S.', 'Stedman, J.R.']",references,https://royalsociety.org/topics-policy/publications/2018/ammonia-emissions-evidence-synthesis,The impact of ammonia emissions from agriculture on biodiversity,2019-06-03,['Royal Society'],Publication,Royal Society,overton
10.5285/fd8151e9-0ee2-4dfa-a254-470c9bb9bc1e,Environmental Information Data Centre (EIDC),Sulphur and nitrogen atmospheric Concentration Based Estimated Deposition (CBED) data for the UK (2013-2015),2018.0,"['Smith, R.I.', 'Dore, A.J.', 'Tang, Y.S.', 'Stedman, J.R.']",references,https://www.rand.org/pubs/research_reports/RR2695.html,Impact of ammonia emissions from agriculture on biodiversity,2018-09-16,"['Tabaqchali, Hadeel', 'Manville, Catriona', 'Giles, Sarah', 'Ioppolo, Becky', 'Harshfield, Amelia', 'Guthrie, Susan', 'Dunkerley, Fay']",Publication,RAND Corporation,overton
10.5285/c76096d6-45d4-4a69-a310-4c67f8dcf096,Environmental Information Data Centre (EIDC),"Water, carbon and energy fluxes simulation for Great Britain using the JULES Land Surface Model and the Climate Hydrology and Ecology research Support System meteorology dataset (1961-2015) [CHESS-land]",2018.0,"['Martinez de la Torre, A.', 'Blyth, E.M.', 'Robinson, E.L.']",references,https://www.climatexchange.org.uk/projects/perennial-energy-crops-and-their-potential-in-scotland-evidence-review/,Perennial energy crops and their potential in Scotland: evidence review,2020-12-17,"['Tom Priestley, Ricardo Energy & Environment', 'Judith Bates, Ricardo Energy & Environment', 'Jessie Willcocks, Ricardo Energy & Environment', 'Jeremy Wiltshire, Ricardo Energy & Environment', 'Becky Jenkins, Ricardo Energy & Environment', 'Helen McKay, Forest Research', 'Gareth Martin, Ricardo Energy & Environment', 'Leo Ingvorsen, Ricardo Energy & Environment', 'Steve Croxton, Uniper']",Publication,ClimateXChange,overton
10.5285/c4c2c5ae-d926-4ee0-b069-6479ecab2787,Environmental Information Data Centre (EIDC),Source Attribution - deposition of nitrogen and sulphur to UK protected sites,2017.0,"['Bealey, W.J.', 'Dore, A.J.']",references,https://committees.parliament.uk/writtenevidence/138903/pdf/,Joint Nature Conservation Committee (NIT0025),2025-03-20,['Environment and Climate Change Committee'],Publication,UK Parliament Select Committee Publications,overton
10.5285/c4c2c5ae-d926-4ee0-b069-6479ecab2787,Environmental Information Data Centre (EIDC),Source Attribution - deposition of nitrogen and sulphur to UK protected sites,2017.0,"['Bealey, W.J.', 'Dore, A.J.']",references,https://www.daera-ni.gov.uk/publications/air-pollution-and-natural-environment-research-modelling-reports,Air pollution and the natural environment research modelling reports,2022-12-21,['Northern Ireland Executive'],Publication,Northern Ireland Executive,overton
10.5285/346124fd-a0c6-490f-b5af-eaccbb26ab6b,Environmental Information Data Centre (EIDC),Historical (1950-2014) and projected (2015-2100) hydrological model (HMF-WA) estimates of monthly mean and annual maximum river flows across West Africa driven by CMIP6 projected climate data,2022.0,"['Rameshwaran, P.', 'Bell, V.A.', 'Brown, M.J.', 'Davies, H.N.']",references,https://hdl.handle.net/10568/128307,Climate Resilient Agriculture Development Pathways for the Agriculture sector in Senegal,2023-01-27,"['Alliance of Bioversity International and CIAT', 'African-German Network of Excellence in Science', 'Accelerating Impacts of CGIAR Climate Research for Africa']",Publication,CGIAR,overton
10.5285/299e2779-0787-46bb-9482-03ad474eae27,Environmental Information Data Centre (EIDC),Critical loads of acidity and nutrient nitrogen for UK habitats,2018.0,"['Hall, J.']",references,https://www.ecologic.eu/18640,Guidance Note on Site Selection,2022-02-15,['Ecologic Institute'],Publication,Ecologic Institute,overton
10.5285/32533dd6-7c1b-43e1-b892-e80d61a5ea1d,Environmental Information Data Centre (EIDC),"Corine land cover 2012 for the UK, Jersey and Guernsey",2015.0,"['Cole, B.', 'King, S.', 'Ogutu, B.', 'Palmer, D.', 'Smith, G.', 'Balzter, H.']",references,https://www.ippr.org/articles/natural-assets-north-final-report,A plan for nature in the north of England: Natural Assets North final report,2020-06-01,['Institute for Public Policy Research'],Publication,Institute for Public Policy Research,overton
10.5285/32533dd6-7c1b-43e1-b892-e80d61a5ea1d,Environmental Information Data Centre (EIDC),"Corine land cover 2012 for the UK, Jersey and Guernsey",2015.0,"['Cole, B.', 'King, S.', 'Ogutu, B.', 'Palmer, D.', 'Smith, G.', 'Balzter, H.']",references,https://gov.wales/valuation-welsh-forest-resources-report,Valuation of Welsh forest resources: report,2017-10-01,['The Welsh Government'],Publication,The Welsh Government,overton
10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,British Oceanographic Data Centre (BODC),The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,2021.0,['GEBCO Bathymetric Compilation Group 2021'],references,https://unfccc.int/documents/568128,State of the Ocean Report 2022,2022-08-05,['United Nations Framework Convention on Climate Change'],Publication,United Nations Framework Convention on Climate Change,overton
