data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,publication_date,citation_event_source,PubCitationStr,data_doi_url,publication_doi_url,publicationYear
Polar Data Centre (PDC),10.5285/8d60d83b-d880-4042-b344-42d0551e65be,"Fledging weights of Gentoo penguin chicks from a colony at Johnson Cove, Bird Island, from 1989 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,Info not given,Info not given,Info not given,Info not given,DataCite,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Gentoo penguin nesting chronology at Bird Island, South Georgia, from 1988 to 2019. https://doi.org/10.5285/F9993EE9-085F-42CF-B008-5373526B2BCF
",doi.org/10.5285/8d60d83b-d880-4042-b344-42d0551e65be,doi.org/10.5285/f9993ee9-085f-42cf-b008-5373526b2bcf,2021
Centre for Environmental Data Analysis (CEDA),10.5285/AFF921A9F2A34F008744342F0BAAA9A5,HadCM3 general circulation model forced simulations of oscillating last glacial maximum forced with deglacial meltwater,"['Rome, Yvan', 'Ivanovic, Ruza', 'Valdes, Paul', 'Tindall, Julia']",references,10.1029/2022pa004451,journal-article,Millennial‐Scale Climate Oscillations Triggered by Deglacial Meltwater Discharge in Last Glacial Maximum Simulations,"[['Yvan M.', 'Romé'], ['Ruza F.', 'Ivanovic'], ['Lauren J.', 'Gregoire'], ['Sam', 'Sherriff‐Tadano'], ['Paul J.', 'Valdes']]",2022-10-06,CrossRef,"Romé, Y.M., Ivanovic, R.F., Gregoire, L.J., Sherriff‐Tadano, S. & Valdes, P.J. (2022) Millennial‐Scale Climate Oscillations Triggered by Deglacial Meltwater Discharge in Last Glacial Maximum Simulations. Paleoceanography and Paleoclimatology 37. https://doi.org/10.1029/2022pa004451
",doi.org/10.5285/AFF921A9F2A34F008744342F0BAAA9A5,doi.org/10.1029/2022pa004451,
,10.5285/h0f90d926-99ce-43c9-b536-0c7791d1728b,,,references,10.5285/a72a50c6-a829-4e12-9f9a-5a683a1acc4a,Dataset,Info not given,Info not given,Info not given,CrossRef,"Fretwell, P., Pritchard, H., Fremand, A., et al. (2022) BEDMAP3 - Ice thickness, bed and surface elevation for Antarctica - standardised shapefiles and geopackages. https://doi.org/10.5285/A72A50C6-A829-4E12-9F9A-5A683A1ACC4A
",doi.org/10.5285/h0f90d926-99ce-43c9-b536-0c7791d1728b,doi.org/10.5285/a72a50c6-a829-4e12-9f9a-5a683a1acc4a,
,10.5285/h91523ff9-d621-46b3-87f7-ffb6efcd1847,,,references,10.5285/a72a50c6-a829-4e12-9f9a-5a683a1acc4a,Dataset,Info not given,Info not given,Info not given,CrossRef,"Fretwell, P., Pritchard, H., Fremand, A., et al. (2022) BEDMAP3 - Ice thickness, bed and surface elevation for Antarctica - standardised shapefiles and geopackages. https://doi.org/10.5285/A72A50C6-A829-4E12-9F9A-5A683A1ACC4A
",doi.org/10.5285/h91523ff9-d621-46b3-87f7-ffb6efcd1847,doi.org/10.5285/a72a50c6-a829-4e12-9f9a-5a683a1acc4a,
Polar Data Centre (PDC),10.5285/bbf12a6f-7d97-4951-9bd1-e4224e2abac9,"Antarctic daily precipitation amounts for January 1979 - July 2017 from the RACMO version 3p2 limited area atmospheric model, along with flags that indicate extreme precipitation events","['van de Berg, Willem', 'van Wessem, Melchior', 'van de Broeke, Michiel', 'Turner, John', 'Phillips, Tony']",references,10.5194/acp-20-5861-2020,journal-article,"Deposition, recycling, and archival of nitrate stable isotopes between the air–snow interface: comparison between Dronning Maud Land and Dome C, Antarctica","[['V. Holly L.', 'Winton'], ['Alison', 'Ming'], ['Nicolas', 'Caillon'], ['Lisa', 'Hauge'], ['Anna E.', 'Jones'], ['Joel', 'Savarino'], ['Xin', 'Yang'], ['Markus M.', 'Frey']]",2020-05-15,CrossRef,"Winton, V.H.L., Ming, A., Caillon, N., Hauge, L., Jones, A.E., Savarino, J., Yang, X. & Frey, M.M. (2020) Deposition, recycling, and archival of nitrate stable isotopes between the air–snow interface: comparison between Dronning Maud Land and Dome C, Antarctica. Atmospheric Chemistry and Physics 20, 5861–5885. https://doi.org/10.5194/acp-20-5861-2020
",doi.org/10.5285/bbf12a6f-7d97-4951-9bd1-e4224e2abac9,doi.org/10.5194/acp-20-5861-2020,
Centre for Environmental Data Analysis (CEDA),10.5285/e4d28cddec7b4e1ab50eae189070f7dc,"HadUK-Grid Climate Observations by Administrative Regions over the UK, v1.0.1.0 (1862-2018)","['Met Office', 'Hollis, Dan', 'McCarthy, Mark', 'Kendon, Michael', 'Legg, Tim', 'Simpson, Ian']",is_derived_from,10.5281/zenodo.6039540,Dataset,Info not given,Info not given,Info not given,CrossRef,DOI not found,doi.org/10.5285/e4d28cddec7b4e1ab50eae189070f7dc,doi.org/10.5281/zenodo.6039540,
Centre for Environmental Data Analysis (CEDA),10.5285/e4d28cddec7b4e1ab50eae189070f7dc,"HadUK-Grid Climate Observations by Administrative Regions over the UK, v1.0.1.0 (1862-2018)","['Met Office', 'Hollis, Dan', 'McCarthy, Mark', 'Kendon, Michael', 'Legg, Tim', 'Simpson, Ian']",is_derived_from,10.5281/zenodo.6039541,Dataset,Info not given,Info not given,Info not given,CrossRef,DOI not found,doi.org/10.5285/e4d28cddec7b4e1ab50eae189070f7dc,doi.org/10.5281/zenodo.6039541,
Polar Data Centre (PDC),10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,"Breeding success of Macaroni penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/85356871-55ee-4b92-a9e8-9b370c843936,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Fledging weights of Macaroni penguin chicks from a colony at Fairy Point, Bird Island, from 1989 to 2020. https://doi.org/10.5285/85356871-55EE-4B92-A9E8-9B370C843936
",doi.org/10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,doi.org/10.5285/85356871-55ee-4b92-a9e8-9b370c843936,2021
Polar Data Centre (PDC),10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,"Breeding success of Macaroni penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",references,10.5285/a5174472-204d-45d4-862c-3befc32b52ca,Dataset,Info not given,Info not given,Info not given,CrossRef,"Trathan, P., Waluda, C. & Ratcliffe, N. (2021) Arrival weights of Macaroni penguins at Bird Island, from 1988 to 2020. https://doi.org/10.5285/A5174472-204D-45D4-862C-3BEFC32B52CA
",doi.org/10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,doi.org/10.5285/a5174472-204d-45d4-862c-3befc32b52ca,2021
Polar Data Centre (PDC),10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,"Breeding success of Macaroni penguins at Bird Island, South Georgia, from 1982 to 2020","['Trathan, Philip', 'Waluda, Claire', 'Ratcliffe, Norman']",is-referenced-by,10.1093/icesjms/fsab092,journal-article,"Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia","[['P N', 'Trathan'], ['S', 'Fielding'], ['P R', 'Hollyman'], ['E J', 'Murphy'], ['V', 'Warwick-Evans'], ['M A', 'Collins']]",2021-04-22,DataCite,"Trathan, P.N., Fielding, S., Hollyman, P.R., Murphy, E.J., Warwick-Evans, V. & Collins, M.A. (2021) Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia. ed. by J. Link. ICES Journal of Marine Science 78, 2065–2081. https://doi.org/10.1093/icesjms/fsab092
",doi.org/10.5285/1a266e7b-ef8d-4db7-8e7c-155be21d17cd,doi.org/10.1093/icesjms/fsab092,2021
