data_Publisher,data_doi,data_Title,data_Authors,relation_type_id,publication_doi,publication_type,publication_title,publication_authors,citation_event_source,PubCitationStr
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1134/s0016852122010058,journal-article,Contemporary Tectonic Movements of the Western Caucasus and the Ciscaucasia Based on Satellite-Geodetic Observations,"['V. K. Milyukov', 'A. P. Mironov', 'A. N. Ovsyuchenko', 'A. V. Gorbatikov', 'G. M. Steblov', 'A. M. Korzhenkov', 'V. N. Drobyshev', 'Kh. M. Khubaev', 'A. O. Agibalov', 'A. A. Sentsov', 'U. Dogan', 'S. Ergintav']",Scholix,"Milyukov, V. K., Mironov, A. P., Ovsyuchenko, A. N., Gorbatikov, A. V., Steblov, G. M., Korzhenkov, A. M., Drobyshev, V. N., Khubaev, Kh. M., Agibalov, A. O., Sentsov, A. A., Dogan, U., & Ergintav, S. (2022). Contemporary Tectonic Movements of the Western Caucasus and the Ciscaucasia Based on Satellite-Geodetic Observations. Geotectonics, 56(1), 41â54. https://doi.org/10.1134/s0016852122010058
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.5194/essd-13-4967-2021,journal-article,Collection and analysis of a global marine phytoplankton primary production dataset,"['F. Mattei', 'F. Mattei', 'M. Scardi', 'M. Scardi']",Scholix,"Mattei, F., & Scardi, M. (2021). Collection and analysis of a global marine phytoplankton primary-production dataset. Earth System Science Data, 13(10), 4967â4985. https://doi.org/10.5194/essd-13-4967-2021
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.21203/rs.3.rs-1722308/v1,posted-content,Determining local scale extreme sea level elevation at the open coast of Côte d’Ivoire: Case study of the Bay of Port-Bouët,"['Kouassi Marcel De Paul Kouakou', 'Frederic Bonou', 'Kissoa Gnandi', 'Eric Valère Djagoua', 'Mouhamed Idrissou', 'Asaa Akunai Abunkudugu']",Scholix,"Kouakou, K. M. D. P., Bonou, F., Gnandi, K., Djagoua, E. V., Idrissou, M., & Abunkudugu, A. A. (2022). Determining local scaleÂ extreme sea level elevation at the open coast of CÃ´te dâIvoire: Case study of the Bay of Port-BouÃ«t. https://doi.org/10.21203/rs.3.rs-1722308/v1
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1038/s41598-022-15301-8,journal-article,Interannual variability of internal tides in the Andaman Sea: an effect of Indian Ocean Dipole,"['B, Yadidya', 'A D, Rao']",Scholix,"Yadidya, B., & Rao, A. D. (2022). Interannual variability of internal tides in the Andaman Sea: an effect of Indian Ocean Dipole. Scientific Reports, 12(1). https://doi.org/10.1038/s41598-022-15301-8
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/jmse9121460,journal-article,A Fine Grid Tide-Wave-Ocean Circulation Coupled Model for the Yellow Sea: Comparison of Turbulence Closure Schemes in Reproducing Temperature Distributions,"['Youngjin Choi', 'Youngmin Park', 'Minbum Choi', 'Kyung Tae Jung', 'Kyeong Ok Kim']",Scholix,"Choi, Y., Park, Y., Choi, M., Jung, K. T., & Kim, K. O. (2021). A Fine Grid Tide-Wave-Ocean Circulation Coupled Model for the Yellow Sea: Comparison of Turbulence Closure Schemes in Reproducing Temperature Distributions. Journal of Marine Science and Engineering, 9(12), 1460. https://doi.org/10.3390/jmse9121460
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1080/00288306.2022.2121288,journal-article,There is no geophysical evidence for the Mahuika Crater on the continental shelf southwest of New Zealand,['Kevin Mackay'],Scholix,"Mackay, K. A. (2022). There is no geophysical evidence for the Mahuika Crater on the continental shelf southwest of New Zealand. New Zealand Journal of Geology and Geophysics, 1â8. https://doi.org/10.1080/00288306.2022.2121288
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/rs14122913,journal-article,Ocean–Atmosphere Variability in the Northwest Atlantic Ocean during Active Marine Heatwave Years,"['Corinne Trott', 'SUBRAHMANYAM BULUSU', 'Lydia Duncan Sims']",Scholix,"Sims, L. D., Subrahmanyam, B., & Trott, C. B. (2022). OceanâAtmosphere Variability in the Northwest Atlantic Ocean during Active Marine Heatwave Years. Remote Sensing, 14(12), 2913. https://doi.org/10.3390/rs14122913
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.1016/j.pocean.2022.102849,journal-article,Persistent zooplankton bioregions reflect long-term consistency of community composition and oceanographic drivers in the NE Pacific,"['Patrick R. Pata', 'Moira Galbraith', 'Kelly Young', 'Andrew R. Margolin', 'R. Ian Perry', 'Brian P.V. Hunt']",Scholix,"Pata, P. R., Galbraith, M., Young, K., Margolin, A. R., Perry, R. I., & Hunt, B. P. V. (2022). Persistent zooplankton bioregions reflect long-term consistency of community composition and oceanographic drivers in the NE Pacific. Progress in Oceanography, 206, 102849. https://doi.org/10.1016/j.pocean.2022.102849
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.3390/jmse10060793,journal-article,The Influence of Bathymetry on Regional Marine Geoid Modeling in Northern Europe,['Sander Varbla'],Scholix,"Varbla, S. (2022). The Influence of Bathymetry on Regional Marine Geoid Modeling in Northern Europe. Journal of Marine Science and Engineering, 10(6), 793. https://doi.org/10.3390/jmse10060793
"
British Oceanographic Data Centre (BODC),10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f,The GEBCO_2021 Grid - a continuous terrain model of the global oceans and land.,['GEBCO Bathymetric Compilation Group 2021'],IsRelatedTo,10.21203/rs.3.rs-2025730/v1,posted-content,Assessing 3-D climatic stability of world’s marine protected areas,"['Amalia Kyprioti', 'Aggeliki Doxa', 'Vasiliki Almpanidou', 'Antonios D. Mazaris']",Scholix,"Kyprioti, A., Doxa, A., Almpanidou, V., & Mazaris, A. D. (2022). Assessing 3-D climatic stability of worldâs marine protected areas. https://doi.org/10.21203/rs.3.rs-2025730/v1
"
