data_doi,data_title,data_authors,publicationYear,dates,registered,source-id,relation-type-id,subj_id,occurred-at,Page endpoint,pub_Title,pub_authors,publisher,pub_type,pub_date,pub_doi,data_publisher
10.5285/21a8fca5-8eae-48e4-93c0-bc6b4433e34c,"Stable isotope data and snow accumulation from the Dyer Plateau ice core, drilled 1989-90, Palmer Land, Antarctic Peninsula","['Mulvaney, Robert']",2017,"[{'date': '1989/1990', 'dateType': 'Collected'}, {'date': '2017-10', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-10-19T16:24:31.000Z,datacite-crossref,is-cited-by,https://doi.org/10.3189/172756494794587438,2019-11-09T19:01:52.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,"Climate since AD 1510 on Dyer Plateau, Antarctic Peninsula: evidence for recent climate change","[['L. G.', 'Thompson'], ['D. A.', 'Peel'], ['E.', 'Mosley-thompson'], ['R.', 'Mulvaney'], ['J.', 'Dal'], ['P. N.', 'Lin'], ['M. E.', 'Davis'], ['C. F.', 'Raymond']]",journal-article,journal-article,"[[2017, 9, 25]]",10.3189/172756494794587438,Polar Data Centre (PDC)
10.5285/d77dd930-654b-4d09-99bd-8df3b00025a8,"Stable isotope data from the Gomez ice core (GZ07), Bryan Coast, South-Western Antarctic Peninsula","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-10-19T14:23:43.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2007gl032529,2019-11-30T18:32:39.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,A doubling in snow accumulation in the western Antarctic Peninsula since 1850,"[['Elizabeth R.', 'Thomas'], ['Gareth J.', 'Marshall'], ['Joseph R.', 'McConnell']]",journal-article,journal-article,"[[2008, 1, 12]]",10.1029/2007gl032529,Polar Data Centre (PDC)
10.5285/d77dd930-654b-4d09-99bd-8df3b00025a8,"Stable isotope data from the Gomez ice core (GZ07), Bryan Coast, South-Western Antarctic Peninsula","['Thomas, Elizabeth']",2017,"[{'date': '2010', 'dateType': 'Collected'}, {'date': '2017-07', 'dateType': 'Accepted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-10-19T14:23:43.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2009gl040104,2019-11-30T18:32:39.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Ice core evidence for significant 100‐year regional warming on the Antarctic Peninsula,"[['E. R.', 'Thomas'], ['P. F.', 'Dennis'], ['T. J.', 'Bracegirdle'], ['C.', 'Franzke']]",journal-article,journal-article,"[[2009, 10, 23]]",10.1029/2009gl040104,Polar Data Centre (PDC)
10.5285/0f074839-1630-4ccd-aa63-84d0da16b28a,"Invertebrate biomass, vegetation cover, and environmental data from Hengill, Iceland","[""O'Gorman, E.J."", 'Robinson, S.I', 'McLaughlin, Ó.B.', 'Marteinsdóttir, B.']",2017,"[{'date': '2017-12-20', 'dateType': 'Submitted'}, {'date': '2017-12-20', 'dateType': 'Created'}, {'date': '2019-01-04', 'dateType': 'Available'}, {'date': '2017', 'dateType': 'Issued'}]",2017-12-20T15:53:05.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1111/1365-2656.12798,2019-08-01T11:34:59.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Soil temperature effects on the structure and diversity of plant and invertebrate communities in a natural warming experiment,"[['Sinikka I.', 'Robinson'], ['Órla B.', 'McLaughlin'], ['Bryndís', 'Marteinsdóttir'], ['Eoin J.', ""O'Gorman""]]",journal-article,journal-article,"[[2018, 1, 25]]",10.1111/1365-2656.12798,Environmental Information Data Centre (EIDC)
10.5285/cc1d42de-dfe6-40aa-a1a6-d45cb2fc8293,Antarctic regional snow accumulation composites over the past 1000 years,"['Thomas, Elizabeth']",2017,"[{'date': '2017-12', 'dateType': 'Accepted', 'dateInformation': None}, {'date': '2017', 'dateType': 'Issued', 'dateInformation': None}]",2017-12-22T10:44:59.000Z,datacite-crossref,is-cited-by,https://doi.org/10.5194/cp-2017-18,2022-03-22T11:08:23.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Review of regional Antarctic snow accumulation over the past 1000 years,"[['Elizabeth R.', 'Thomas'], ['J. Melchior', 'van Wessem'], ['Jason', 'Roberts'], ['Elisabeth', 'Isaksson'], ['Elisabeth', 'Schlosser'], ['TJ', 'Fudge'], ['Paul', 'Vallelonga'], ['Brooke', 'Medley'], ['Jan', 'Lenaerts'], ['Nancy', 'Bertler'], ['Michiel R.', 'van den Broeke'], ['Daniel A.', 'Dixon'], ['Massimo', 'Frezzotti'], ['Barbara', 'Stenni'], ['Mark', 'Curran'], ['Alexey A.', 'Ekaykin']]",posted-content,posted-content,"[[2017, 3, 28]]",10.5194/cp-2017-18,Polar Data Centre (PDC)
10.5285/dada63fb-c40a-4b13-97ba-c53860881d79,Water column and ice thickness measurements of the Filchner-Ronne Ice Shelf derived from point seismic observations collected between 2015-2017,"['Rosier, Sebastian', 'Hofstede, Coen', 'Brisbourne, Alex', 'Hattermann, Tore', 'Davis, Peter', 'Anker, Paul', 'Gudmundsson, Hilmar', 'Hugh, Corr']",2018,"[{'date': '2018-03', 'dateType': 'Accepted'}, {'date': '2015/2017', 'dateType': 'Collected'}, {'date': '2015/2017', 'dateType': 'Valid'}, {'date': '2018', 'dateType': 'Issued'}]",2018-03-14T10:43:53.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1029/2018jc013982,2019-10-13T10:01:32.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,A New Bathymetry for the Southeastern Filchner‐Ronne Ice Shelf: Implications for Modern Oceanographic Processes and Glacial History,"[['S. H. R.', 'Rosier'], ['C.', 'Hofstede'], ['A. M.', 'Brisbourne'], ['T.', 'Hattermann'], ['K. W.', 'Nicholls'], ['P. E. D.', 'Davis'], ['P. G. D.', 'Anker'], ['C.‐D.', 'Hillenbrand'], ['A. M.', 'Smith'], ['H. F. J.', 'Corr']]",journal-article,journal-article,"[[2018, 6, 8]]",10.1029/2018jc013982,Polar Data Centre (PDC)
10.5285/3952a4fe-683a-42e7-a074-bdec41c8ab16,Southern Hemisphere tropospheric westerly jet: 1979-present,"['Bracegirdle, Thomas']",2018,"[{'date': '2018-03', 'dateType': 'Accepted'}, {'date': '1979-01-01/', 'dateType': 'Valid'}, {'date': '2018', 'dateType': 'Issued'}]",2018-03-09T17:09:53.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1175/jcli-d-17-0320.1,2019-09-07T01:01:53.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,CMIP5 Diversity in Southern Westerly Jet Projections Related to Historical Sea Ice Area: Strong Link to Strengthening and Weak Link to Shift,"[['Thomas J.', 'Bracegirdle'], ['Patrick', 'Hyder'], ['Caroline R.', 'Holmes']]",journal-article,journal-article,"[[2017, 10, 3]]",10.1175/jcli-d-17-0320.1,Polar Data Centre (PDC)
10.5285/3578bae2-4b88-4b2e-93e1-6965dfe1348c,Nitrogen fixation and phosphatase activity of 97 nitrogen-fixing and non-fixing trees in Panama,"['Batterman, S.A.', 'Hall, J.S.', 'Turner, B.', 'Hedin, L.O.', 'LaHaela Walter, J.K.', 'Sheldon, P.', 'Van Breugel, M.']",2018,"[{'date': '2018-07-13', 'dateType': 'Submitted'}, {'date': '2018-07-11', 'dateType': 'Created'}, {'date': '2018', 'dateType': 'Issued'}]",2018-07-13T11:29:37.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1111/ele.13129,2019-08-01T11:49:16.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,"Phosphatase activity and nitrogen fixation reflect species differences, not nutrient trading or nutrient balance, across tropical rainforest trees","[['Sarah A.', 'Batterman'], ['Jefferson S.', 'Hall'], ['Benjamin L.', 'Turner'], ['Lars O.', 'Hedin'], ['J. Kimiko', 'LaHaela Walter'], ['Pete', 'Sheldon'], ['Michiel', 'van Breugel']]",journal-article,journal-article,"[[2018, 8, 7]]",10.1111/ele.13129,Environmental Information Data Centre (EIDC)
10.5285/a1ab8c79-3426-43a4-ab42-6d1b218d1cc6,Elemental concentrations in representative species of the ICRP's Reference Animals and Plants and associated soils in terrestrial Mediterranean ecosystems in Spain,"['Guillén, J.', 'Izquierdo, M.', 'Young, S.', 'Wells, C.', 'Barnett, C.L.', 'Beresford, N.A.', 'Baeza, A.', 'Salas, A.', 'Muñóz-Serrano, A.', 'Corrales-Vázquez, J.M.', 'Muñoz-Muñoz, J.G.', 'Tovar, E.', 'Chaplow, J.S.']",2017,"[{'date': '2017-07-11', 'dateType': 'Submitted'}, {'date': '2017', 'dateType': 'Issued'}]",2017-07-17T10:51:42.000Z,datacite-crossref,is-cited-by,https://doi.org/10.1016/j.jenvrad.2017.06.024,2019-08-02T15:42:11.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-cited-by,Transfer parameters for ICRP's Reference Animals and Plants in a terrestrial Mediterranean ecosystem,"[['J.', 'Guillén'], ['N.A.', 'Beresford'], ['A.', 'Baeza'], ['M.', 'Izquierdo'], ['M.D.', 'Wood'], ['A.', 'Salas'], ['A.', 'Muñoz-Serrano'], ['J.M.', 'Corrales-Vázquez'], ['J.G.', 'Muñoz-Muñoz']]",journal-article,journal-article,"[[2017, 9, 14]]",10.1016/j.jenvrad.2017.06.024,Environmental Information Data Centre (EIDC)
10.5285/0cf552a6-cd62-4da0-8289-8e4bab0a35a8,Basal Melt Rate Beneath Pine Island Ice Shelf (2014),"['Lok, Lai Bun', 'Nicholls, Keith', 'Brennan, Paul', 'Davis, Peter']",2018,"[{'date': '2018-10-09', 'dateType': 'Accepted'}, {'date': '2018-10-09', 'dateType': 'Created'}, {'date': '2018-10-09', 'dateType': 'Submitted'}, {'date': '2014-01-13/2014-11-30', 'dateType': 'Collected'}, {'date': '2018', 'dateType': 'Issued'}]",2018-10-15T11:18:05.000Z,datacite-crossref,is-referenced-by,https://doi.org/10.1029/2018jc014464,2019-08-01T11:59:43.000Z,https://api.datacite.org/events?page%5Bcursor%5D=1&prefix=10.5285&page%5Bsize%5D=1000&relation-type-id=is-referenced-by,Variability in Basal Melting Beneath Pine Island Ice Shelf on Weekly to Monthly Timescales,"[['Peter E. D.', 'Davis'], ['Adrian', 'Jenkins'], ['Keith W.', 'Nicholls'], ['Paul V.', 'Brennan'], ['E. Povl', 'Abrahamsen'], ['Karen J.', 'Heywood'], ['Pierre', 'Dutrieux'], ['Kyoung‐Ho', 'Cho'], ['Tae‐Wan', 'Kim']]",journal-article,journal-article,"[[2018, 11, 15]]",10.1029/2018jc014464,Polar Data Centre (PDC)
