relationshipType,pubTitle,pubDate,pubID,datasetDOI,datasetTitle,datasetAuthors,datasetPublisher,pubAuthors_processed,PubType
IsRelatedTo,CAMELS-GB: hydrometeorological time series and landscape attributes for 671 catchments in Great Britain,2020-10-12,10.5194/essd-12-2459-2020,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['G. Coxon', 'G. Coxon', 'N. Addor', 'N. Addor', 'J. P. Bloomfield', 'J. Freer', 'J. Freer', 'J. Freer', 'M. Fry', 'J. Hannaford', 'J. Hannaford', 'N. J. K. Howden', 'N. J. K. Howden', 'R. Lane', 'M. Lewis', 'E. L. Robinson', 'T. Wagener', 'T. Wagener', 'R. Woods', 'R. Woods']",journal-article
IsRelatedTo,A Data Scientist's Guide to Streamflow Prediction,2020-06-05,10.48550/arxiv.2006.12975,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Gauch, Martin', 'Lin, Jimmy']",article
IsRelatedTo,Theoretical and empirical evidence against the  Budyko catchment trajectory conjecture,2022-03-18,10.5194/hess-26-1507-2022,10.5285/8344e4f3-d2ea-44f5-8afa-86d2987543a9,Catchment attributes and hydro-meteorological timeseries for 671 catchments across Great Britain (CAMELS-GB),"['Coxon, G.', 'Addor, N.', 'Bloomfield, J.P.', 'Freer, J.', 'Fry, M.', 'Hannaford, J.', 'Howden, N.J.K.', 'Lane, R.', 'Lewis, M.', 'Robinson, E.L.', 'Wagener, T.', 'Woods, R.']",Environmental Information Data Centre (EIDC),"['Nathan G. F. Reaver', 'David A. Kaplan', 'Harald Klammler', 'James W. Jawitz']",journal-article
IsRelatedTo,Exploring the potential of SCAT-SAR SWI for soil moisture retrievals at selected COSMOS-UK sites,2021-11-22,10.1080/01431161.2021.1988185,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['Dimitrios Triantakonstantis', 'Owen D. Howells', 'Prashant K. Srivastava', 'George P. Petropoulos', 'Ionut Sandric']",journal-article
IsRelatedTo,Cosmic-Ray neutron Sensor PYthon tool (crspy): An open-source tool for the processing of cosmic-ray neutron and soil moisture data,2021-11-30,10.5194/gmd-14-7287-2021,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['D. Power', 'M. A. Rico-Ramirez', 'S. Desilets', 'D. Desilets', 'R. Rosolem', 'R. Rosolem']",journal-article
IsRelatedTo,Examining the variation of soil moisture from cosmic-ray neutron probes footprint: experimental results from a COSMOS-UK site,2023-01-01,10.1007/s12665-022-10721-1,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['Owen D. Howells', 'George P. Petropoulos', 'Dimitris Triantakonstantis', 'Zacharias Ioannou', 'Prashant K. Srivastava', 'Spyridon E. Detsikas', 'George Stavroulakis']",journal-article
IsRelatedTo,Daily and sub-daily hydrometeorological and soil data (2013-2018) [COSMOS-UK],2020-01-01,10.5285/37702a54-b7a4-40ff-b62e-d14b161b69ca,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",dataset
IsRelatedTo,Retrieval of Sub-Kilometric Relative Surface Soil Moisture With Sentinel-1 Utilizing Different Backscatter Normalization Factors,2022-01-01,10.1109/tgrs.2022.3175256,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['William Maslanka', 'Keith Morrison', 'Kevin White', 'Anne Verhoef', 'Joanna Clark']",journal-article
IsRelatedTo,Cosmic-Ray neutron Sensor PYthon tool (crspy): An open-source tool for the processing of cosmic-ray neutron and soil moisture data,2021-11-30,10.5194/gmd-14-7287-2021,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['D. Power', 'M. A. Rico-Ramirez', 'S. Desilets', 'D. Desilets', 'R. Rosolem', 'R. Rosolem']",journal-article
IsRelatedTo,COSMOS-UK: national soil moisture and hydrometeorology data for environmental science research,2021-04-28,10.5194/essd-13-1737-2021,10.5285/b5c190e4-e35d-40ea-8fbe-598da03a1185,Daily and sub-daily hydrometeorological and soil data (2013-2019) [COSMOS-UK],"['Stanley, S.', 'Antoniou, V.', 'Askquith-Ellis, A.', 'Ball, L.A.', 'Bennett, E.S.', 'Blake, J.R.', 'Boorman, D.B.', 'Brooks, M.', 'Clarke, M.', 'Cooper, H.M.', 'Cowan, N.', 'Cumming, A.', 'Evans, J.G.', 'Farrand, P.', 'Fry, M.', 'Hitt, O.E.', 'Lord, W.D.', 'Morrison, R.', 'Nash, G.V.', 'Rylett, D.', 'Scarlett, P.M.', 'Swain, O.D.', 'Szczykulska, M.', 'Thornton, J.L.', 'Trill, E.J.', 'Warwick, A.C.', 'Winterbourn, J.B.']",Environmental Information Data Centre (EIDC),"['H. M. Cooper', 'E. Bennett', 'J. Blake', 'E. Blyth', 'D. Boorman', 'E. Cooper', 'J. Evans', 'M. Fry', 'A. Jenkins', 'R. Morrison', 'D. Rylett', 'S. Stanley', 'M. Szczykulska', 'E. Trill', 'V. Antoniou', 'A. Askquith-Ellis', 'L. Ball', 'M. Brooks', 'M. A. Clarke', 'N. Cowan', 'A. Cumming', 'P. Farrand', 'O. Hitt', 'O. Hitt', 'W. Lord', 'P. Scarlett', 'O. Swain', 'J. Thornton', 'J. Thornton', 'A. Warwick', 'B. Winterbourn', 'B. Winterbourn']",journal-article
