pub_title,pub_authors,pub_date,pub_doi,relation_type,data_doi
Future water resources,['Department for Energy Security and Net Zero'],2024-10-31,https://www.gov.uk/government/publications/future-water-resources,references,10.5285/bad1514f-119e-44a4-8e1e-442735bb9797
The impact of ammonia emissions from agriculture on biodiversity,['Royal Society'],2019-06-03,https://royalsociety.org/topics-policy/publications/2018/ammonia-emissions-evidence-synthesis,references,10.5285/fd8151e9-0ee2-4dfa-a254-470c9bb9bc1e
Impact of ammonia emissions from agriculture on biodiversity,"['Guthrie, Susan', 'Giles, Sarah', 'Dunkerley, Fay', 'Tabaqchali, Hadeel', 'Harshfield, Amelia', 'Ioppolo, Becky', 'Manville, Catriona']",2018-09-16,https://www.rand.org/pubs/research_reports/RR2695.html,references,10.5285/fd8151e9-0ee2-4dfa-a254-470c9bb9bc1e
Perennial energy crops and their potential in Scotland: evidence review,"['Gareth Martin, Ricardo Energy & Environment', 'Leo Ingvorsen, Ricardo Energy & Environment', 'Jessie Willcocks, Ricardo Energy & Environment', 'Jeremy Wiltshire, Ricardo Energy & Environment', 'Judith Bates, Ricardo Energy & Environment', 'Becky Jenkins, Ricardo Energy & Environment', 'Tom Priestley, Ricardo Energy & Environment', 'Helen McKay, Forest Research', 'Steve Croxton, Uniper']",2020-12-17,https://www.climatexchange.org.uk/projects/perennial-energy-crops-and-their-potential-in-scotland-evidence-review/,references,10.5285/c76096d6-45d4-4a69-a310-4c67f8dcf096
Joint Nature Conservation Committee (NIT0025),['Environment and Climate Change Committee'],2025-03-20,https://committees.parliament.uk/writtenevidence/138903/pdf/,references,10.5285/c4c2c5ae-d926-4ee0-b069-6479ecab2787
Air pollution and the natural environment research modelling reports,['Northern Ireland Executive'],2022-12-21,https://www.daera-ni.gov.uk/publications/air-pollution-and-natural-environment-research-modelling-reports,references,10.5285/c4c2c5ae-d926-4ee0-b069-6479ecab2787
Climate Resilient Agriculture Development Pathways for the Agriculture sector in Senegal,"['Alliance of Bioversity International and CIAT', 'Accelerating Impacts of CGIAR Climate Research for Africa', 'African-German Network of Excellence in Science']",2023-01-27,https://hdl.handle.net/10568/128307,references,10.5285/346124fd-a0c6-490f-b5af-eaccbb26ab6b
Guidance Note on Site Selection,['Ecologic Institute'],2022-02-15,https://www.ecologic.eu/18640,references,10.5285/299e2779-0787-46bb-9482-03ad474eae27
A plan for nature in the north of England: Natural Assets North final report,['Institute for Public Policy Research'],2020-06-01,https://www.ippr.org/articles/natural-assets-north-final-report,references,10.5285/32533dd6-7c1b-43e1-b892-e80d61a5ea1d
Valuation of Welsh forest resources: report,['The Welsh Government'],2017-10-01,https://gov.wales/valuation-welsh-forest-resources-report,references,10.5285/32533dd6-7c1b-43e1-b892-e80d61a5ea1d
State of the Ocean Report 2022,['United Nations Framework Convention on Climate Change'],2022-08-05,https://unfccc.int/documents/568128,references,10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f
State of the ocean report 2022: pilot edition,['Intergovernmental Oceanographic Commission'],2022-01-01,https://unesdoc.unesco.org/notice?id=p::usmarcdef_0000381921,references,10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f
State of the ocean report 2022 :pilot edition,['United Nations'],2022-01-01,https://digitallibrary.un.org/record/4058930?ln=en,references,10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f
"Exercice CARIBE WAVE 22, a Caribbean and Adjacent Regions Tsunami Warning Exercise, 10 March 2022 (Western Muertos Trough & Northern Panama Scenarios), Volume 1: participant handbook, Volume 2: summary report",['Intergovernmental Oceanographic Commission'],2021-01-01,https://unesdoc.unesco.org/notice?id=p::usmarcdef_0000380358,references,10.5285/c6612cbe-50b3-0cff-e053-6c86abc09f8f
Habitat suitability modelling: scoping study,['The Welsh Government'],2020-11-16,https://gov.wales/habitat-suitability-modelling-scoping-study,references,10.5285/94ae1a5a-2a28-4315-8d4b-35ae964fc3b9
Habitat suitability modelling: scoping study,['The Welsh Government'],2019-09-12,https://www.gov.wales/habitat-suitability-modelling-scoping-study,references,10.5285/94ae1a5a-2a28-4315-8d4b-35ae964fc3b9
"UK rural land use archetypes - part two (UKCEH, Eunomia, and University of East Anglia) - Climate Change Committee",['Committee on Climate Change'],2025-05-21,https://www.theccc.org.uk/publication/uk-rural-land-use-archetypes-part-2/,references,10.5285/d90a3733-2949-4dfa-8ac2-a88aef8699be
Marine biodiversity of the Saya de Malha Bank shallows: A photographic catalogue,"['Ministry of Blue Economy, Marine Resources, Fisheries and Shipping']",2024-12-16,https://blueconomy.govmu.org/Documents/Publications/SayaDeMalhaBank.pdf,references,10.5285/1c44ce99-0a0d-5f4f-e063-7086abc0ea0f
Marine biodiversity of the Saya de Malha Bank shallows: A photographic catalogue,"['Bhagooli, R.; Ramah, S.; Gendron, G.; Kaullysing, D.; Caussy, L.; Mostarda, E.;']",2024-01-01,https://openknowledge.fao.org/handle/20.500.14283/cd3735en,references,10.5285/1c44ce99-0a0d-5f4f-e063-7086abc0ea0f
