pub_doi,source-id,relation-type-id,data_doi,data_publisher,data_title,data_publication_year,data_authors
https://doi.org/10.1016/j.jenvrad.2017.06.024,datacite-crossref,is-cited-by,10.5285/a1ab8c79-3426-43a4-ab42-6d1b218d1cc6,Environmental Information Data Centre (EIDC),Elemental concentrations in representative species of the ICRP's Reference Animals and Plants and associated soils in terrestrial Mediterranean ecosystems in Spain,2017.0,"['Guillén, J.', 'Izquierdo, M.', 'Young, S.', 'Wells, C.', 'Barnett, C.L.', 'Beresford, Nicholas A.', 'Baeza, A.', 'Salas, A.', 'Muñóz-Serrano, A.', 'Corrales-Vázquez, J.M.', 'Muñoz-Muñoz, J.G.', 'Tovar, E.', 'Chaplow, J.S.']"
https://doi.org/10.1029/2018jc014464,datacite-crossref,is-referenced-by,10.5285/0cf552a6-cd62-4da0-8289-8e4bab0a35a8,Polar Data Centre (PDC),Basal Melt Rate Beneath Pine Island Ice Shelf (2014),2018.0,"['Lok, Lai Bun', 'Nicholls, Keith', 'Brennan, Paul', 'Davis, Peter']"
https://doi.org/10.5285/4859dc19-e8e9-4148-8c50-cb2ab16dc696,datacite-related,is-referenced-by,10.5285/65abc40d-e256-414b-8b50-a5569556d1be,Polar Data Centre (PDC),"Point cloud data and visualisation of an englacial cut-and-closure channel on Austre Broggerbreen, Svalbard, in March 2016",2019.0,"['Kamintzis, Jayne', 'Jennings, Stephen', 'Irvine-Fynn, Tristram', 'Holt, Thomas', 'Jones, John', 'Hubbard, Bryn', 'Bunting, Pete']"
https://doi.org/10.5285/65abc40d-e256-414b-8b50-a5569556d1be,datacite-related,is-referenced-by,10.5285/4859dc19-e8e9-4148-8c50-cb2ab16dc696,Polar Data Centre (PDC),"Point cloud data and visualisation of the englacial channel exiting the portal of Austre Broggerbreen, Svalbard, in March 2017",2019.0,"['Kamintzis, Jayne', 'Jennings, Stephen', 'Porter, Philip', 'Irvine-Fynn, Tristram', 'Holt, Thomas', 'Jones, John', 'Hubbard, Bryn']"
https://doi.org/10.5285/c11bdb27-df44-4b56-8f4c-afc51b6e1e3a,datacite-related,is-referenced-by,10.5285/b5ffac8a-9846-4f86-9a71-3ce992a18148,Polar Data Centre (PDC),3D shear wave (Vsv) velocity model of West Antarctic crustal structure,2019.0,"[""O'Donnell, John Paul"", 'Stuart, Graham', 'Brisbourne, Alexander']"
https://doi.org/10.1016/j.cub.2017.04.034,datacite-crossref,is-referenced-by,10.5285/b5689abb-4eba-49b3-b6b9-a9e29a8af579,Polar Data Centre (PDC),"150 year, multi-proxy moss bank data of biological response to climate change from the Antarctic Peninsula",2017.0,"['Amesbury, Matthew', 'Charman, Dan', 'Convey, Pete', 'Griffiths, Howard', 'Hodgson, Dominic', 'Roland, Tom', 'Royles, Jessica']"
https://doi.org/10.5194/essd-9-445-2017,datacite-crossref,is-referenced-by,10.5285/57f97915-8ff1-473b-8c77-2564cbd747bc,Environmental Information Data Centre (EIDC),Countryside Survey 2007 vegetation plot data,2014.0,"['Bunce, R.G.H.', 'Carey, P.D.', 'Maskell, L.C.', 'Norton, L.R.', 'Scott, R.J.', 'Smart, S.M.', 'Wood, C.M.']"
https://doi.org/10.1111/2041-210x.12779,datacite-crossref,is-referenced-by,10.5285/57f97915-8ff1-473b-8c77-2564cbd747bc,Environmental Information Data Centre (EIDC),Countryside Survey 2007 vegetation plot data,2014.0,"['Bunce, R.G.H.', 'Carey, P.D.', 'Maskell, L.C.', 'Norton, L.R.', 'Scott, R.J.', 'Smart, S.M.', 'Wood, C.M.']"
https://doi.org/10.1080/13658816.2016.1158823,datacite-crossref,is-referenced-by,10.5285/fdf8c8d3-5998-45a5-8431-7f5e6302fc32,Environmental Information Data Centre (EIDC),"Land Cover Map 2007 (1km percentage target class, GB) v1.2",2014.0,"['Morton, R.D.', 'Rowland, C.S.', 'Wood, C.M.', 'Meek, L.', 'Marston, C.G.', 'Smith, G.M.']"
https://doi.org/10.5285/902fc4d8-db74-46c9-b7eb-c988f5325903,datacite-related,is-referenced-by,10.5285/ba29d42b-ebee-4da8-9861-f46277e14b5d,Polar Data Centre (PDC),"Detailed water quality parameters at Adventdalen, Svalbard (2015-2016)",2019.0,"['Nowak, Aga', 'Hodson, Andrew']"
https://doi.org/10.5194/hess-22-2023-2018,datacite-crossref,is-referenced-by,10.5285/1957166d-7523-44f4-b279-aa5314163237,Environmental Information Data Centre (EIDC),Integrated Hydrological Units of the United Kingdom: Hydrometric Areas with Coastline,2014.0,['National River Flow Archive']
https://doi.org/10.1111/1365-2656.12489,datacite-crossref,is-referenced-by,10.5285/9520664c-eb4d-4700-b064-5d215d23e595,Environmental Information Data Centre (EIDC),Windermere lake temperature data 1944-2002,2013.0,"['Winfield, I.J.', 'Fletcher, J.M.']"
https://doi.org/10.5285/a87b7897-354c-4435-a1bc-e6053e7569e0,datacite-related,is-referenced-by,10.5285/0579d4a8-e315-41d7-af43-25fb50c7d3da,Polar Data Centre (PDC),"Multi-spectral unmanned aerial system imagery, S6, south-west Greenland, July 2017: Level 1 (unmosaiced radiance measurements)",2019.0,"['Tedstone, Andrew', 'Cook, Joseph', 'Tranter, Martyn']"
https://doi.org/10.5285/0579d4a8-e315-41d7-af43-25fb50c7d3da,datacite-related,is-referenced-by,10.5285/a87b7897-354c-4435-a1bc-e6053e7569e0,Polar Data Centre (PDC),"Multi-spectral unmanned aerial system imagery, UPE_U, north-west Greenland, July 2018: Level 1 (unmosaiced radiance measurements)",2019.0,"['Tedstone, Andrew', 'Cook, Joseph', 'Tranter, Martyn']"
https://doi.org/10.1016/j.agsy.2019.02.015,datacite-crossref,is-referenced-by,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']"
https://doi.org/10.1016/j.jhydrol.2018.07.034,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.5194/hess-22-2023-2018,datacite-crossref,is-referenced-by,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']"
https://doi.org/10.1016/j.ejrh.2015.05.014,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.5194/hess-22-2023-2018,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.5194/essd-10-951-2018,datacite-crossref,is-referenced-by,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']"
https://doi.org/10.1016/j.scitotenv.2018.08.190,datacite-crossref,is-referenced-by,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']"
https://doi.org/10.1002/hyp.11380,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.5194/gmd-12-2285-2019,datacite-crossref,is-referenced-by,10.5285/8baf805d-39ce-4dac-b224-c926ada353b7,Environmental Information Data Centre (EIDC),Climate hydrology and ecology research support system potential evapotranspiration dataset for Great Britain (1961-2015) [CHESS-PE],2016.0,"['Robinson, E.L.', 'Blyth, E.', 'Clark, D.B.', 'Comyn-Platt, E.', 'Finch, J.', 'Rudd, A.C.']"
https://doi.org/10.1002/gdj3.55,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.1080/1747423x.2018.1537312,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.1002/joc.5789,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.1016/j.agsy.2019.02.015,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
https://doi.org/10.5194/gmd-12-2285-2019,datacite-crossref,is-referenced-by,10.5285/33604ea0-c238-4488-813d-0ad9ab7c51ca,Environmental Information Data Centre (EIDC),Gridded estimates of daily and monthly areal rainfall for the United Kingdom (1890-2015) [CEH-GEAR],2016.0,"['Tanguy, M.', 'Dixon, H.', 'Prosdocimi, I.', 'Morris, D.G.', 'Keller, V.D.J.']"
